"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Классика,0-12,Овальная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Деловой,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Андеркат,19-28,Овальная,Волнистые,Высокая,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Смешанный,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Андеркат,19-28,Овальная,Прямые,Высокая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,0-12,Прямоугольная,Прямые,Низкая,Короткие,Брюнет,10-30,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Каскад,29-45,Ромбовидная,Прямые,Низкая,Средние,Любой,10-30,Спокойный,Экспериментатор,Худощавое,Деловой,Да,Естественная,Да,Нет,Нет,Никогда
Классика,0-12,Овальная,Волнистые,Низкая,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Нет,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Маллет,19-28,Ромбовидная,Волнистые,Высокая,Длинные,Блонд,10-30,Спортивный/Активный,Минималист,Худощавое,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Андеркат,29-45,Круглая,Прямые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Смешанный,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,29-45,Овальная,Спиральные,Средняя,Средние,Шатен,10-30,Спокойный,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Нет,Нет,Нет,Никогда
Андеркат,19-28,Овальная,Прямые,Низкая,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,19-28,Прямоугольная,Прямые,Средняя,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Прямые,Низкая,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Крю-кат,29-45,Овальная,Прямые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Естественная,Нет,Да,Нет,Раз в месяц
Базз-кат,19-28,Ромбовидная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Уличный,Нет,Четкая-монолитная,Да,Нет,Нет,Редко
Андеркат,29-45,Овальная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Базз-кат,29-45,Прямоугольная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Базз-кат,29-45,Ромбовидная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Каскад,29-45,Овальная,Прямые,Низкая,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,0-12,Круглая,Прямые,Средняя,Длинные,Шатен,25 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Деловой,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Ман-бун,46+,Овальная,Волнистые,Высокая,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Шэг,29-45,Овальная,Волнистые,Высокая,Средние,Шатен,1-10,Творческий,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Шторки,29-45,Прямоугольная,Волнистые,Средняя,Длинные,Рыжий,30 минут ,Творческий,Экспериментатор,Худощавое,Спортивный,Да,Естественная,Да,Нет,Нет,Редко
Шэг,13-18,Овальная,Прямые,Низкая,Средние,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Никогда
Андеркат,46+,Квадратная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Нет,Нет,Нет,Никогда
Базз-кат,46+,Ромбовидная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Минималист,Худощавое,Casual,Да,Естественная,Да,Да,Нет,Редко
Крю-кат,0-12,Круглая,Волнистые,Низкая,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Шэг,19-28,Прямоугольная,Волнистые,Низкая,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Овальная,Прямые,Средняя,Короткие,Рыжий,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,29-45,Овальная,Волнистые,Низкая,Длинные,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,29-45,Прямоугольная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,0-12,Ромбовидная,Волнистые,Низкая,Средние,Шатен,10-30,Деловой,Экспериментатор,Плотное,Деловой,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Классика,29-45,Овальная,Прямые,Средняя,Короткие,Брюнет,1-10,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Шэг,19-28,Квадратная,Волнистые,Низкая,Длинные,Блонд,25 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Уже длинные,Нет,Раз в месяц
Классика,13-18,Квадратная,Прямые,Средняя,Короткие,Рыжий,0(не укладываете),Деловой,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Прямоугольная,Волнистые,Высокая,Короткие,Рыжий,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Крю-кат,13-18,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Серферская укладка,46+,Треугольная,Прямые,Низкая,Средние,Брюнет,10-30,Деловой,Смешанный,Спортивное,Casual,Нет,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Классика,0-12,Овальная,Прямые,Средняя,Средние,Шатен,30 минут ,Спортивный/Активный,Смешанный,Спортивное,Уличный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Редко
Шэг,19-28,Прямоугольная,Волнистые,Средняя,Средние,Брюнет,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Casual,Нет,Естественная,Да,Да,Нет,Раз в месяц
Помпадур,13-18,Овальная,Прямые,Высокая,Длинные,Блонд,10-30,Деловой,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Шэг,0-12,Квадратная,Прямые,Средняя,Длинные,Шатен,20,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Базз-кат,19-28,Квадратная,Волнистые,Средняя,Короткие,Брюнет,1-10,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Квадратная,Прямые,Средняя,Короткие,Любой ,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,13-18,Ромбовидная,Волнистые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Крю-кат,19-28,Квадратная,Волнистые,Низкая,Короткие,Шатен,10-30,Творческий,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
